ОМ-1.25/10,1.25,10,0.23,20,60,19,5.5,2.3276
ОМ-2.5/10,2.5,10,0.23,40,90,15,5,1.058
ОМ-4/10,4,10,0.23,45,140,5,3.5,0.462875
ОМ-10/10,10,10,0.23,70,270,5.5,3.5,0.18515
ОМ-16/10,16,10,0.23,105,440,8,4.5,0.148781
ОМ-25/10,25,10,0.23,130,600,6,4.5,0.09522
