25,1,1.036
25,2,0.302
40,1,0.649
40,2,0.187
63,1,0.412
63,2,0.12
100,1,0.259
100,2,0.0754
160,1,0.162
160,2,0.047
250,1,0.104
250,2,0.03
400,1,0.065
400,2,0.019
630,1,0.043
630,2,0.014
1000,1,0.027
1000,2,0.009
1600,1,0.018
1600,2,0.0056
